index,City,Lat,Lng,Max Temp,Cloudiness,Country,Date,Humidity,Wind Speed
93,mazatlan,23.22,-106.42,80.6,75,MX,1542660360,44,6.93
94,airai,-8.93,125.41,69.54,88,TL,1542664561,92,0.89
95,kaitangata,-46.28,169.85,49.33,92,NZ,1542664587,90,17.78
96,busselton,-33.64,115.35,52.48,32,AU,1542664529,100,9.62
97,chuy,-33.69,-53.46,75.02,0,UY,1542664524,65,4.59
98,liverpool,53.41,-2.98,44.6,40,GB,1542662400,81,16.11
99,zhigansk,66.77,123.37,-20.79,48,RU,1542664984,30,2.91
101,sao jose da coroa grande,-8.9,-35.15,77.5,68,BR,1542663982,90,9.95
102,albany,42.65,-73.75,39.02,90,US,1542663300,64,2.24
103,guerrero negro,27.97,-114.04,73.85,0,MX,1542664580,52,4.81
104,ixtapa,20.71,-105.21,80.6,40,MX,1542664020,61,8.05
105,barranca,-10.75,-77.76,64.4,20,PE,1542664984,98,8.61
107,coromandel,-36.76,175.5,57.2,48,NZ,1542661200,62,5.82
109,ulaangom,49.98,92.07,-19.21,8,MN,1542664985,23,1.9
110,kavaratti,10.57,72.64,82.22,36,IN,1542663952,100,4.81
111,castro,-42.48,-73.76,54.05,92,CL,1542664526,98,10.29
112,honningsvag,70.98,25.97,44.6,75,NO,1542662400,81,36.91
114,san pedro,-33.68,-59.66,79.93,0,AR,1542664988,40,11.74
115,sao filipe,14.9,-24.5,75.12,92,CV,1542664572,100,7.61
116,esna,45.2,27.57,31.74,0,RO,1542664988,100,13.2
117,hilo,19.71,-155.08,78.98,20,US,1542660960,62,10.29
118,marsa matruh,31.35,27.25,59,0,EG,1542661200,128,2.8
119,samoded,63.61,40.52,25.62,8,RU,1542664989,77,8.05
120,nikolskoye,59.7,30.79,28.4,75,RU,1542661200,86,4.47
121,kargasok,59.06,80.87,5.99,76,RU,1542664989,82,4.7
122,hovd,63.83,10.7,35.6,75,NO,1542662400,86,10.29
123,menongue,-14.66,17.68,61.62,32,AO,1542664634,100,1.12
124,khatanga,71.98,102.47,-1.48,76,RU,1542664538,69,21.47
125,padang,-0.92,100.36,79.62,92,ID,1542664735,100,2.13
126,victoria,5.28,115.24,77,75,BN,1542661200,94,3.24
127,los llanos de aridane,28.66,-17.92,64.4,64,ES,1542663000,68,4.7
128,souillac,45.6,-0.6,35.6,0,FR,1542663000,74,10.29
129,coihaique,-45.58,-72.07,55.4,90,CL,1542661200,82,3.36
130,evensk,61.92,159.24,14.09,80,RU,1542664780,100,13.76
131,burgeo,47.61,-57.61,37.18,68,CA,1542664990,100,18.68
132,kruisfontein,-34,24.73,64.4,0,ZA,1542664551,93,3.13
133,saint-pierre,48.95,4.24,35.6,90,FR,1542663000,93,14.99
135,kalmunai,7.42,81.82,73.77,92,LK,1542664596,100,3.36
136,talakan,50.29,130.28,-8.91,8,RU,1542664992,65,2.8
137,qaanaaq,77.48,-69.36,-12.33,0,GL,1542664530,100,3.69
138,basco,40.33,-91.2,44.06,40,US,1542663300,81,10.29
139,saint-michel-des-saints,46.68,-73.92,25.12,76,CA,1542664987,78,2.91
140,carnarvon,-30.97,22.13,67.15,0,ZA,1542663947,20,10.85
142,cururupu,-1.82,-44.87,83.53,12,BR,1542664995,68,10.96
143,caravelas,-17.73,-39.27,79.3,24,BR,1542664596,100,15.55
144,pisco,-13.71,-76.2,71.6,0,PE,1542661200,30,10.29
145,worthing,50.81,-0.37,39.2,75,GB,1542663360,86,16.11
146,horsham,-36.71,142.2,68.68,76,AU,1542664996,48,4.36
147,sitka,37.17,-99.65,48.88,0,US,1542663971,44,12.75
149,thompson,55.74,-97.86,-9.41,90,CA,1542661200,76,4.7
150,mastic beach,40.77,-72.85,51.08,1,US,1542663300,89,9.95
151,floro,61.6,5.03,35.6,20,NO,1542662400,93,6.93
152,havoysund,71,24.66,42.8,75,NO,1542662400,81,36.91
153,manokwari,-0.87,134.08,82.49,0,ID,1542664840,99,6.49
154,anadyr,64.73,177.51,12.2,90,RU,1542663000,92,13.42
155,santa luzia,-19.77,-43.85,77,0,BR,1542661200,60,2.24
156,singaparna,-7.35,108.11,65.8,24,ID,1542664998,97,1.57
157,dudinka,69.41,86.18,4.33,80,RU,1542664519,78,31.43
158,port hardy,50.7,-127.42,48.2,20,CA,1542661200,66,5.82
159,geraldton,49.72,-86.95,1.4,90,CA,1542661200,64,4.7
160,camacha,33.08,-16.33,64.4,40,PT,1542663000,82,8.05
161,nome,30.04,-94.42,53.06,90,US,1542663300,92,9.17
162,cape town,-33.93,18.42,59,75,ZA,1542661200,93,12.75
163,hadgaon,19.5,77.66,68.32,92,IN,1542664999,94,6.49
164,praia da vitoria,38.73,-27.07,60.8,20,PT,1542661200,77,17.56
166,fort nelson,58.81,-122.69,21.2,75,CA,1542661200,79,2.24
167,orumiyeh,37.55,45.08,37.4,75,IR,1542661200,100,4.7
