index,City,Lat,Lng,Max Temp,Cloudiness,Country,Date,Humidity,Wind Speed
420,samarinda,-0.5,117.14,72.55,20,ID,1542664837,100,2.13
421,nantucket,41.28,-70.1,51.98,40,US,1542662100,82,3.36
422,honolulu,21.3,-157.86,82.94,40,US,1542661020,56,21.92
423,horki,54.29,30.98,31.37,80,BY,1542665040,88,8.95
424,lafia,8.5,8.51,78.62,48,NG,1542665041,62,2.8
425,salalah,17.01,54.1,77,0,OM,1542660600,73,2.24
426,vao,59.1,26.19,25.52,0,EE,1542664571,89,3.02
427,bilma,18.69,12.92,61.97,20,NE,1542664521,31,4.47
428,blairmore,49.61,-114.44,44.6,1,CA,1542661200,45,21.92
429,liuzhou,24.32,109.41,55.27,92,CN,1542665041,100,3.24
430,lusambo,-4.97,23.44,73.77,12,CD,1542665041,91,1.9
431,fairbanks,64.84,-147.72,19.94,75,US,1542661080,92,4.14
432,port macquarie,-31.43,152.91,62.6,75,AU,1542661200,82,4.7
433,samarai,-10.62,150.67,76.74,92,PG,1542664576,100,10.63
434,broome,52.47,1.45,44.6,20,GB,1542662700,71,18.34
435,manado,1.49,124.85,75.2,40,ID,1542663000,94,2.24
436,pedernales,0.07,-80.05,82.4,76,EC,1542665042,67,10.07
437,gat,14.69,-16.54,78.54,0,SN,1542664787,53,12.41
438,kropotkin,45.43,40.58,33.44,88,RU,1542664797,96,9.17
439,fershampenuaz,53.52,59.82,13.6,44,RU,1542665042,68,2.91
440,mayo,63.59,-135.9,26.6,90,CA,1542661200,92,3.02
441,calderitas,18.55,-88.26,82.4,75,MX,1542663840,78,7.16
442,mahibadhoo,3.78,72.97,83.57,44,MV,1542665043,100,3.36
443,udachnyy,66.42,112.4,-38.11,0,RU,1542663993,0,2.46
444,alugan,12.22,125.48,76.47,92,PH,1542665043,100,23.26
445,vardo,39.62,-77.74,57.2,5,US,1542664020,76,4.36
446,tual,-5.67,132.75,82.63,0,ID,1542664634,100,2.13
447,alyangula,-13.85,136.42,82.4,0,AU,1542665044,100,8.28
448,thunder bay,48.41,-89.26,12.2,75,CA,1542661200,61,12.75
449,tezpur,26.62,92.79,55.14,0,IN,1542665044,88,2.35
451,port keats,-14.25,129.55,79.52,32,AU,1542665044,98,5.7
452,tura,25.52,90.21,55.49,0,IN,1542664576,84,2.57
453,san mariano,16.98,122.01,70.25,88,PH,1542665044,94,3.13
455,talnakh,69.49,88.39,2.75,88,RU,1542664615,83,26.06
456,berlin,52.52,13.39,39.2,75,DE,1542662400,80,12.75
457,krotoszyn,51.7,17.44,29.8,24,PL,1542665045,76,15.66
458,sur,22.57,59.53,76.33,0,OM,1542664551,100,2.68
459,liwale,-9.8,37.92,74.17,92,TZ,1542665045,80,5.93
460,bangassou,4.74,22.82,76.92,8,CF,1542665045,55,3.36
461,clinton,30.87,-91.02,66.02,75,US,1542663300,63,4.7
462,general roca,-39.03,-67.58,87.8,0,AR,1542661200,18,5.82
463,azul,-36.78,-59.86,78.17,0,AR,1542665046,45,15.43
464,fuzhou,26.08,119.3,62.6,75,CN,1542661200,77,15.66
465,antalaha,-14.9,50.28,72.73,0,MG,1542665046,90,4.7
466,san ramon,12.92,-85.84,75.2,75,NI,1542661200,69,4.7
467,sambava,-14.27,50.17,77.45,0,MG,1542665047,100,7.72
468,katsuura,33.93,134.5,46.4,75,JP,1542662400,93,8.05
469,vostok,46.45,135.83,-10.75,0,RU,1542663941,52,1.9
470,constitucion,23.99,-104.67,73.4,40,MX,1542660540,17,8.05
471,northam,51.04,-4.21,42.8,0,GB,1542662400,86,8.05
472,auly,48.55,34.45,33.8,75,UA,1542663000,86,17.9
473,aykhal,65.95,111.51,-38.83,0,RU,1542664766,0,2.91
474,yantai,37.53,121.39,48.29,0,CN,1542665048,100,18.68
475,gladstone,-23.84,151.26,73,76,AU,1542665048,75,6.6
476,buraydah,26.33,43.97,57.2,40,SA,1542661200,100,12.75
477,namibe,-15.19,12.15,73.4,0,AO,1542664624,100,5.59
478,nuevo progreso,26.05,-97.95,53.6,90,US,1542664200,100,10.29
479,vilhena,-12.74,-60.15,77,75,BR,1542661200,88,5.82
480,nouakchott,18.08,-15.98,69.72,0,MR,1542664587,100,12.19
481,luderitz,-26.65,15.16,58.74,0,NA,1542664599,82,19.57
482,poum,41.28,20.71,26.97,68,MK,1542664628,93,1.68
484,kambove,-10.88,26.6,62.15,48,CD,1542665050,93,3.91
485,port hope,43.95,-78.29,37.4,75,CA,1542661200,74,4.7
487,bandarbeyla,9.49,50.81,79.17,0,SO,1542664586,100,12.75
488,lempaala,60.41,30.35,30.2,75,RU,1542663000,86,4.47
489,zabaykalsk,49.64,117.33,-10.93,0,CN,1542665051,51,7.83
490,bronnoysund,65.46,12.2,39.2,88,NO,1542662400,86,5.82
491,marale,12.45,77.4,67.92,56,IN,1542665051,96,4.7
492,monterey,36.6,-121.89,66.92,1,US,1542663300,36,1.79
493,mitsamiouli,-11.38,43.28,80.6,20,KM,1542661200,74,4.7
494,taxisco,14.07,-90.46,91.4,40,GT,1542661200,52,13.87
495,kloulklubed,7.04,134.26,78.8,75,PW,1542660720,83,5.82
496,linxia,35.6,103.21,16.17,76,CN,1542664527,58,1.57
497,plouzane,48.38,-4.62,37.4,0,FR,1542663000,74,10.29
498,kajaani,64.22,27.73,23,0,FI,1542662400,92,8.05
499,zverinogolovskoye,54.46,64.85,20.98,88,RU,1542665127,76,2.91
500,port elizabeth,39.31,-74.98,55.94,1,US,1542660960,71,4.14
501,aswan,24.09,32.9,66.2,0,EG,1542661200,24,8.05
502,romanovo,56.49,40.39,25.07,76,RU,1542665054,79,9.51
503,isangel,-19.55,169.27,75.2,75,VU,1542661200,83,6.93
504,necochea,-38.55,-58.74,77.23,8,AR,1542663996,53,12.86
505,serebryansk,49.68,83.3,1.4,90,KZ,1542663000,84,3.13
506,vuktyl,63.86,57.31,16.93,92,RU,1542664618,79,6.71
507,sao felix do xingu,-6.64,-51.99,82.4,20,BR,1542664982,88,1.34
508,villacarrillo,38.12,-3.08,46.9,92,ES,1542665055,100,4.7
509,sistranda,63.73,8.83,35.6,75,NO,1542662400,93,9.17
510,olinda,-2.03,-79.75,89.6,40,EC,1542661200,52,9.17
511,puerto maldonado,-12.59,-69.19,33.8,90,PE,1542661200,334,2.24
512,nouadhibou,20.93,-17.03,68,0,MR,1542661200,82,8.05
513,mayumba,-3.44,10.65,75.07,8,GA,1542665055,100,1.57
514,hailey,43.52,-114.32,39.2,5,US,1542660420,55,6.93
515,inhambane,-23.87,35.38,73.9,36,MZ,1542665056,96,6.6
516,chapais,49.78,-74.86,5,20,CA,1542661200,71,2.24
517,salamiyah,35.01,37.05,38.62,12,SY,1542665056,80,0.89
518,loikaw,19.67,97.21,56.84,0,MM,1542665057,99,2.35
519,beitbridge,-22.21,29.99,73.59,0,ZA,1542665057,65,7.61
520,smolensk,54.79,32.05,31.82,88,RU,1542665131,89,9.17
521,dolgorukovo,52.32,38.35,26.92,80,RU,1542665058,92,6.6
522,moussoro,13.64,16.49,74.67,0,TD,1542665058,33,9.4
523,yertsevo,60.8,40.09,17.52,24,RU,1542665058,79,6.04
524,siavonga,-16.54,28.71,83.98,0,ZW,1542665059,42,12.19
525,aklavik,68.22,-135.01,12.2,90,CA,1542662460,84,10.29
526,dryden,49.79,-92.84,5,1,CA,1542661200,54,4.7
527,carutapera,-1.2,-46.02,82.22,88,BR,1542664566,80,11.74
528,huarmey,-10.07,-78.15,74.84,8,PE,1542664788,49,3.91
529,lamu,0.57,122.3,70.34,20,ID,1542665059,100,2.24
530,swellendam,-34.02,20.44,68,32,ZA,1542661200,88,2.24
531,zhaodong,46.07,125.99,14,0,CN,1542661200,72,6.71
532,paragominas,-3,-47.35,75.97,64,BR,1542664831,99,7.61
533,esso,55.93,158.7,-0.31,24,RU,1542665060,58,2.68
535,sao joao da barra,-21.64,-41.05,75.2,90,BR,1542661200,94,11.41
536,takoradi,4.89,-1.75,79.17,32,GH,1542665061,100,4.14
537,grindavik,63.84,-22.43,46.4,75,IS,1542663000,81,33.33
538,oktyabrskiy,55.61,37.97,32,90,RU,1542661200,92,8.95
539,leshukonskoye,64.9,45.76,26.34,12,RU,1542665061,91,7.05
540,san patricio,-26.98,-56.83,74.62,0,PY,1542664538,72,4.36
541,siguiri,11.42,-9.17,77.99,36,GN,1542665061,45,7.27
542,troy,42.73,-73.69,39.02,90,US,1542663300,64,2.24
543,suntar,62.16,117.65,-26.77,0,RU,1542665062,41,2.68
544,sarangarh,21.6,83.08,64.45,24,IN,1542665062,83,2.8
545,dolores,-33.53,-58.22,78.35,0,UY,1542665062,39,9.06
546,dalbandin,28.9,64.41,53.87,0,PK,1542665063,75,6.93
547,sorland,67.67,12.69,44.6,75,NO,1542662400,87,12.75
548,joigny,47.98,3.4,37.4,75,FR,1542663000,86,8.05
549,belaya gora,68.54,146.19,-15.39,44,RU,1542664589,69,3.36
550,ocean city,30.44,-86.61,69.98,1,US,1542660960,54,3.36
551,oksovskiy,62.61,39.91,23.27,8,RU,1542665063,85,7.72
552,usinsk,66,57.56,25.44,92,RU,1542665064,90,14.76
553,lakhnadon,22.6,79.61,59.68,0,IN,1542665064,76,2.68
554,tirumullaivasal,11.24,79.84,79.07,32,IN,1542665064,100,12.41
555,smoky lake,54.11,-112.47,34.48,36,CA,1542665064,90,10.07
557,yulara,-25.24,130.99,69.8,40,AU,1542661200,88,5.82
558,ayna,38.55,-2.07,48.2,0,ES,1542661200,93,2.24
559,wasilla,61.58,-149.44,42.98,1,US,1542660960,64,5.82
560,vysokogornyy,50.1,139.13,2.94,24,RU,1542665065,52,8.95
561,sainte-rose,45.61,-73.79,33.8,90,CA,1542661200,74,2.24
562,amuntai,-2.42,115.25,75.39,36,ID,1542665065,93,2.13
563,novyy urgal,51.07,132.56,-12.78,12,RU,1542665065,58,5.7
564,nelson bay,-32.72,152.14,64.4,75,AU,1542661200,68,4.7
565,the valley,18.22,-63.06,82.4,40,AI,1542661200,69,14.99
567,kaoma,-14.8,24.8,70.75,12,ZM,1542665066,72,7.94
568,tilichiki,60.47,166.1,-7.42,68,RU,1542665066,76,5.59
569,pemberton,-34.44,116.03,47.62,80,AU,1542665066,74,6.71
570,porto novo,-23.68,-45.44,64.4,75,BR,1542661200,93,3.36
571,ahuimanu,21.44,-157.84,82.94,75,US,1542662760,65,14.99
572,verkhoyansk,67.55,133.39,-24.03,68,RU,1542664581,35,2.91
573,karratha,-20.74,116.85,79.75,0,AU,1542664542,19,14.99
574,nyurba,63.29,118.35,-23.44,20,RU,1542664615,34,2.57
575,christchurch,-43.53,172.64,44.6,92,NZ,1542661200,93,10.29
577,sechura,-5.56,-80.82,78.99,8,PE,1542664833,63,15.99
578,kahului,20.89,-156.47,82.94,20,US,1542660960,58,19.46
579,dovolnoye,54.5,79.67,15.62,92,RU,1542665067,85,13.65
580,saint anthony,43.97,-111.68,37.94,1,US,1542660960,43,4.7
581,pacific grove,36.62,-121.92,66.92,1,US,1542663300,36,1.79
582,jojoima,7.88,-10.79,75.02,36,SL,1542665068,83,3.91
583,tabou,4.42,-7.36,80.42,56,CI,1542664782,100,5.03
585,jardim,-21.48,-56.15,79.48,68,BR,1542664806,81,4.14
586,luganville,-15.51,167.18,78.67,32,VU,1542664776,100,9.51
587,tahlequah,35.92,-94.97,51.8,1,US,1542663300,53,4.7
588,kudahuvadhoo,2.67,72.89,82.77,44,MV,1542664771,100,3.8
589,ferme-neuve,46.7,-75.45,23.27,68,CA,1542664824,78,3.91
590,alenquer,-1.95,-54.74,87.8,40,BR,1542661200,62,4.7
591,kathmandu,27.71,85.32,46.4,20,NP,1542664200,100,3.36
592,tapikan,10.61,122.17,73.85,92,PH,1542665069,95,7.38
594,livingston,32.58,-88.19,66.02,90,US,1542661080,58,4.7
595,yumen,40.29,97.04,19.14,76,CN,1542664820,80,5.03
596,eenhana,-17.48,16.34,79.89,36,NA,1542665070,33,4.47
597,margara,40.03,44.18,30.2,0,TR,1542663000,80,1.12
598,barkly west,-28.54,24.52,78.8,92,ZA,1542661200,29,4.7
599,okha,53.59,142.95,8.47,0,RU,1542665070,100,8.39
600,nabire,-3.36,135.5,66.43,32,ID,1542664568,90,2.57
601,norwich,52.63,1.29,44.6,20,GB,1542662700,82,18.34
602,arroio grande,-32.24,-53.09,72.42,0,BR,1542665034,84,4.92
604,westport,53.8,-9.52,42.85,8,IE,1542664564,98,13.09
605,jacareacanga,-6.22,-57.76,91.4,20,BR,1542661200,66,1.12
606,bonavista,48.65,-53.11,32.82,64,CA,1542664900,100,14.65
